jmbg,ime,prezime,dat_zaposlenja,plata,mjesto,igraonica,username,password,administrator
1405004324939,Dunja,Todoroviæ,5/6/2018,430,78420,151528092,DunjaTodoroviæ00,97361,0
2309995838534,Danica,Lazareviæ,2/3/2020,360,75406,151528092,DanicaLazareviæ99,58311,0
2404989898268,Lazar,Stefanoviæ,2/4/2016,360,71420,151528092,LazarStefanoviæ98,74107,0
1206999369654,Strahinja,Æiriæ,7/20/2017,430,70260,151528092,StrahinjaÆiriæ99,44954,0
2904996774582,Arsenije,Milojeviæ,7/25/2018,370,74450,151528092,ArsenijeMilojeviæ99,91629,1
2508000477954,Sara,Stankoviæ,4/19/2018,350,78430,169182940,SaraStankoviæ00,87133,0
2204999355638,Iskra,Vasiæ,1/24/2015,370,75420,169182940,IskraVasiæ99,18275,0
0702985474665,Stefan,Blagojeviæ,10/9/2020,350,89101,169182940,StefanBlagojeviæ98,59462,0
2705986469269,Vukan,Paunoviæ,2/28/2018,440,70270,169182940,VukanPaunoviæ98,95275,0
1804999496288,Ivan,Uroševiæ,4/13/2019,400,74470,169182940,IvanUroševiæ99,69647,1
2604001723962,Nina,Tomiæ,12/2/2018,410,76230,176485870,NinaTomiæ00,59261,0
0604988958678,Staša,Živanoviæ,2/3/2017,380,79224,176485870,StašaŽivanoviæ98,41834,0
1906002559735,Vasilije,Rakiæ,4/6/2015,380,73301,176485870,VasilijeRakiæ00,76368,0
1506984856423,Jakov,Tošiæ,10/20/2020,440,79291,176485870,JakovTošiæ98,41780,0
1304998987974,Miljan,Stamenkoviæ,3/28/2020,450,75440,176485870,MiljanStamenkoviæ99,00552,1
0906002937592,Sofija,Jankoviæ,10/3/2019,430,78400,205700778,SofijaJankoviæ00,70358,0
1305993796956,Anja,Radovanoviæ,6/4/2020,420,75400,205700778,AnjaRadovanoviæ99,15127,0
1208986434329,Luka,Mitiæ,6/30/2019,380,71360,205700778,LukaMitiæ98,83417,0
0504997866775,Marko,Periæ,2/10/2017,430,70206,205700778,MarkoPeriæ99,94707,0
0308995687894,Sava,Ðurðeviæ,3/7/2016,410,74400,205700778,SavaÐurðeviæ99,30802,1
0404997834826,Ðurða,Petroviæ,4/27/2020,410,78220,264616476,ÐurðaPetroviæ99,19019,0
1303004883534,Maša,Ivanoviæ,10/28/2019,400,76273,264616476,MašaIvanoviæ00,13406,0
2402986276576,Hana,Ðuriæ,7/21/2015,410,79240,264616476,HanaÐuriæ98,98074,0
0603007223363,Bogdan,Pešiæ,12/17/2016,370,73220,264616476,BogdanPešiæ00,24853,0
2305985349388,Konstantin,Ivkoviæ,1/11/2018,400,76330,264616476,KonstantinIvkoviæ98,92802,1
2706000927653,Minja,Živkoviæ,9/16/2019,380,79288,352334133,MinjaŽivkoviæ00,02573,0
0606999374997,Anðela,Aleksiæ,5/8/2016,390,74317,352334133,AnðelaAleksiæ99,15871,0
0602982242254,Kristina,Gajiæ,12/9/2018,400,71350,352334133,KristinaGajiæ98,84346,0
2906996954466,Jovan,Matiæ,2/4/2015,430,78250,352334133,JovanMatiæ99,77675,0
2605997435234,Damjan,Raduloviæ,12/20/2019,400,74270,352334133,DamjanRaduloviæ99,65007,1
1506996264943,Srna,Pavloviæ,11/11/2015,370,70206,352772045,SrnaPavloviæ99,14786,0
2504996886232,Jana,Mitroviæ,11/29/2019,440,74400,352772045,JanaMitroviæ99,72924,0
0707987883672,Anðelija,Bogdanoviæ,10/21/2017,380,71216,352772045,AnðelijaBogdanoviæ98,10398,0
1407998238287,Mihajlo,Zdravkoviæ,6/5/2018,350,78101,352772045,MihajloZdravkoviæ99,52372,0
2602987857769,Miloš,Radoviæ,10/12/2019,450,76256,352772045,MilošRadoviæ98,62799,1
0607005257492,Petra,Kovaèeviæ,6/16/2017,430,75240,388246784,PetraKovaèeviæ00,97771,0
1807985453495,Elena,Milosavljeviæ,2/9/2017,350,79101,388246784,ElenaMilosavljeviæ98,14001,0
2606027525545,Andrej,Stojkoviæ,7/24/2019,390,88380,388246784,AndrejStojkoviæ2,35716,0
1902983458767,Maksim,Gavriloviæ,2/12/2019,360,78430,388246784,MaksimGavriloviæ98,24012,0
1503995774786,Zoran,Ðukiæ,7/7/2020,380,75420,388246784,ZoranÐukiæ99,37750,1
0908996778687,Nika,Ðorðeviæ,2/11/2019,360,78250,473920565,NikaÐorðeviæ99,37898,0
1909995995942,Una,Saviæ,10/28/2016,380,74270,473920565,UnaSaviæ99,37736,0
2602983634876,Jovana,Marinkoviæ,11/9/2016,370,71126,473920565,JovanaMarinkoviæ98,47407,0
0505993228883,Nikola,Milanoviæ,9/23/2020,410,73280,473920565,NikolaMilanoviæ99,91048,0
1609987475762,Veljko,Velièkoviæ,11/9/2015,360,76230,473920565,VeljkoVelièkoviæ98,56278,1
1809001466256,Irina,Stojanoviæ,11/18/2016,400,70273,580000563,IrinaStojanoviæ00,57885,0
2402994965854,Anastasija,Obradoviæ,7/15/2020,360,74480,580000563,AnastasijaObradoviæ99,98202,0
3007985288598,Lara,Mihajloviæ,4/5/2016,420,71230,580000563,LaraMihajloviæ98,02904,0
1302996283892,Dušan,Vuèkoviæ,11/11/2019,400,78240,580000563,DušanVuèkoviæ99,03874,0
2705998384567,Milan,Jeremiæ,5/19/2015,420,74208,580000563,MilanJeremiæ99,69394,1
2609992772277,Isidora,Iliæ,8/1/2016,380,78240,585988724,IsidoraIliæ99,75116,0
0908903357493,Lenka,Filipoviæ,12/2/2016,350,74208,585988724,LenkaFilipoviæ90,23477,0
1308984539233,Lana,Novakoviæ,5/14/2018,430,71123,585988724,LanaNovakoviæ98,54135,0
2403996895824,Petar,Miliæ,5/21/2019,430,73260,585988724,PetarMiliæ99,96080,0
1207985628345,Aleksej,Miletiæ,10/27/2018,380,76101,585988724,AleksejMiletiæ98,14827,1
2204992448386,Vanja,Markoviæ,1/26/2020,420,70260,597169265,VanjaMarkoviæ99,10925,0
0308993957663,Nikolina,Laziæ,7/11/2017,390,74450,597169265,NikolinaLaziæ99,94739,0
1606982799295,Iva,Kneževiæ,11/13/2016,430,71144,597169265,IvaKneževiæ98,15745,0
2202997375976,Ognjen,Grujiæ,4/20/2015,350,78220,597169265,OgnjenGrujiæ99,88771,0
0904986823772,Ilija,Miljkoviæ,4/17/2018,410,76273,597169265,IlijaMiljkoviæ98,83437,1
0603998942897,Mina,Popoviæ,5/8/2017,380,70270,602268103,MinaPopoviæ99,51007,0
1805998698827,Naða,Petkoviæ,9/25/2018,430,74470,602268103,NaðaPetkoviæ99,32722,0
2802986392274,Magdalena,Radosavljeviæ,10/8/2015,360,71220,602268103,MagdalenaRadosavljeviæ98,19845,0
0602996676272,Kosta,Babiæ,3/17/2016,380,78230,602268103,KostaBabiæ99,79385,0
1209992863637,Danilo,Nešiæ,12/16/2019,410,74101,602268103,DaniloNešiæ99,40298,1
1803002659533,Lena,Kostiæ,1/7/2016,410,79291,616537866,LenaKostiæ00,17970,0
0304993745743,Mia,Joviæ,10/25/2018,350,75440,616537866,MiaJoviæ99,04826,0
2208002735285,Filip,Vasiljeviæ,12/20/2018,440,89240,616537866,FilipVasiljeviæ00,56510,0
1608982859897,Aleksandar,Maksimoviæ,1/1/2019,410,79288,616537866,AleksandarMaksimoviæ98,43021,0
1204998367969,Boško,Trifunoviæ,8/2/2017,390,74317,616537866,BoškoTrifunoviæ99,36695,1
